Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	December	169.46			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	January	181.78	3.14701082995356		2			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	February	256.22	13.7224225144122		24			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	March	445.88	16.1842833160486		24			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	April	593.45	12.4667956585917		62			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	May	735.96	0.558296203308399		23			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	June	756.84			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	July	759.03			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	August	657.89			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	September	495.58			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	October	315.1			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	November	194.92			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	December	153.67			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	January	231.22	3.13437301261319		1			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	February	308.54	19.2358780294538		38			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	March	503	22.4625773087127		43			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	April	632.37	21.4686168260141		78			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	May	752.4	4.5303312209601		68			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	June	761.02			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	July	769.63			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	August	690.65			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	September	549.41			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	October	372.49			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	November	244.97			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	December	199.03			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	January	220.58			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	February	300.52	27.1417516087951		34			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	March	505.73	35.9050028648199		41			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	April	657.81	39.4553280306866		61			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	May	805.01	35.9662427938113		23			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	June	823.98			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	July	828.23			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	August	725.45			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	September	557.79			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	October	365.83			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	November	234.71			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	December	188.97			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	January	214.39	3.15125084892789		2			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	February	293.09	15.720508393173		14			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	March	495.72	15.4019789578496		11			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	April	648.29	18.1126838818171		58			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	May	795.74	12.979657381595		7			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	June	816.1			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	July	819.2			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	August	716.12			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	September	547.62			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	October	357.25			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	November	228.25			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	December	183.31			0			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	January	206.15	14.5355118366285	9.29507060054846	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	February	283.03	22.9239900378255	11.7601007449163	32			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	March	478.79	30.2331898574842	14.3709284316689	32			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	April	623.26	26.7720287356322	17.5203979726256	29			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	May	761.43	12.814366359447	16.3345146241853	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	June	778.64	2.3319880952381	6.5997734469672	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	July	783.1	0.0288364055299539	0.139382750293564	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	August	687.15	0.00353798126951093	0.0185374879377558	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	September	528.45	0.00129032258064516	0.00587760466169168	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	October	345.2	0.135119667013528	0.424546643524794	31			
